School No,School Name,City,Category,Offering
2378636,"Delhi Public School, N T P C, Farakka",Nabarun,Only CARES,Ei CARES
4165785,Don Bosco School Kalyani,Kalyani,Only CARES,Ei CARES
1035545,Doon Valley Public School,Nalagarh,Only CARES,Ei CARES
3242514,Erudite Academy,Diphu,Only CARES,Ei CARES
5032729,Fathima Central Senior Secondary School,Chennai,Only CARES,Ei CARES
3400783,G Rio School,Kohima,Only CARES,Ei CARES
5017199,GD Goenka Public School,Ranchi,Only CARES,Ei CARES
3478771,GEMS Public School - Patiala,Patiala,Only CARES,Ei CARES
5018537,GRD International School,Rudrapur,Only CARES,Ei CARES
3507484,Global Concept School,Karhi,Only CARES,Ei CARES
5018487,Green Valley English High School,Bengaluru,Only CARES,Ei CARES
2530317,Green Valley English School,Bengaluru,Only CARES,Ei CARES
4050265,Green Valley International School,Morvi,Only CARES,Ei CARES
3992655,Gurukula International School,Arsikere,Only CARES,Ei CARES
3992708,Gyanjyoti Kanchanben Rasiklal Vidyalaya,"Khariar Road,Dist Nuapada",Only CARES,Ei CARES
2009619,Happy Days School,Shivpuri,Only CARES,Ei CARES
1722766,Harvest Public School,Khammam,Only CARES,Ei CARES
5068265,Harvest Spring Leaf School,Khammam,Only CARES,Ei CARES
5016248,Him Academy Public School - Hira Nagar,Hamirpur,Only CARES,Ei CARES
3992830,"Him Academy Public School, Vikas Nagar",Salasi,Only CARES,Ei CARES
5002738,Himali Boarding School,Kurseong,Only CARES,Ei CARES
3992841,Hind Zinc Vidyalaya,Sundargarh,Only CARES,Ei CARES
999141,Holy Angels School,Ghaziabad,Only CARES,Ei CARES
5018445,"Holy Angels School, Holy Angels' School",Ghaziabad,Only CARES,Ei CARES
5040879,Holy Mary Academy,Barh,Only CARES,Ei CARES
3514450,I D M Public School,Balangir,Only CARES,Ei CARES
1338674,Inspiration Sr Sec School,Kathgodam,Only CARES,Ei CARES
96888,J.B. Petit High School,Mumbai,Only CARES,Ei CARES
3638758,Jain Public School,Chennai,Only CARES,Ei CARES
5018545,Jss Shri Manjunatheshwara Central School (Cbse),Hubli,Only CARES,Ei CARES
950643,Kalka Public School,Delhi,Only CARES,Ei CARES
2509576,Kaushalya World School,Greater Noida,Only CARES,Ei CARES
1155119,Kerala Public School_ Burmamines,Jamshedpur,Only CARES,Ei CARES
5018435,Khannur Vidyaniketan School,Ranebennur,Only CARES,Ei CARES
5015638,KnowledgeGram International School,Patna,Only CARES,Ei CARES
5057744,Kothakota Pupils High School,Mandal Wanaparthy District,Only CARES,Ei CARES
5057852,Kothakota Pupils High School,Mandal Wanaparthy District,Only CARES,Ei CARES
5054276,Kothakota Pupils High School Shadnagar,Kothakota,Only CARES,Ei CARES
641697,LT. Atul Katarya Memorial School,Gurgaon,Only CARES,Ei CARES
1173541,"La Montessori School, Dhalpur",Kullu,Only CARES,Ei CARES
3857260,"La Montessori School, Dunkhra",Kullu,Only CARES,Ei CARES
2508568,"La Montessori School, Kelheli",Kullu,Only CARES,Ei CARES
3857130,"La Montessori School, Ner Chowk",Bhangrotu,Only CARES,Ei CARES
2171347,Learning Paths School,Mohali,Only CARES,Ei CARES
393696,Little Flower Higher Secondary School,Dibrugarh,Only CARES,Ei CARES
1110834,Mother's International Academy,Patna,Only CARES,Ei CARES
4007320,"Motilal Talera English Medium School, Pune",Pune,Only CARES,Ei CARES
3182761,"Mount Index International School, Indore",Indore,Only CARES,Ei CARES
2057359,N. H. Goel World School,Raipur,Only CARES,Ei CARES
5018417,"NLK Academy, Bhawanipur, Mandhana",Kanpur,Only CARES,Ei CARES
209833,Nalanda International School,Vadodara,Only CARES,Ei CARES
437634,Nand Vidya Niketan,Jamnagar,Only CARES,Ei CARES
3302667,Navrachana International School,Vadodara,Only CARES,Ei CARES
128171,"Navrachana School, Sama",Vadodara,Only CARES,Ei CARES
41269,Navrachana Vidyani Vidyalaya,Vadodara,Only CARES,Ei CARES
22983,New Era Senior Secondary School,Vadodara,Only CARES,Ei CARES
1155556,Nml Kerala Public School,Jamshedpur,Only CARES,Ei CARES
5017017,ODM Global School,Bhubaneswar,Only CARES,Ei CARES
1553466,ODM Sapphire Global School,Ranchi,Only CARES,Ei CARES
621568,Our Lady Of The Snows High School,Kullu,Only CARES,Ei CARES
104830,P.S. Senior Secondary School,Chennai,Only CARES,Ei CARES
3634161,PICT Model School,Pune,Only CARES,Ei CARES
1650530,"Paramount Academy, Kasrawad",Khargaon,Only CARES,Ei CARES
3875940,Paramount School,Kalimpong,Only CARES,Ei CARES
5023577,Paras English Medium and Kishor Excellency school,Bardoli,Only CARES,Ei CARES
1482482,Pathania Public School,Rohtak,Only CARES,Ei CARES
401650,Pramila Memorial Advanced School,Kolkata,Only CARES,Ei CARES
2758617,Pratibha International School,Pune,Only CARES,Ei CARES
4001826,Prem Prakash International School,Bagod,Only CARES,Ei CARES
2457713,Prudence International School,Tumkur,Only CARES,Ei CARES
20480,Queens College,Indore,Only CARES,Ei CARES
3328278,Ramakrishna Mission Vidyapith,Deoghar,Only CARES,Ei CARES
4030028,Richmondd Convent School,Pathankot,Only CARES,Ei CARES
3515636,Rungta Public School,Bhilai,Only CARES,Ei CARES
3308610,"SANSKRUTI – An English Medium School, Ashoknagar",Ashoknagar,Only CARES,Ei CARES
5037382,SBS Model High School,Hoshiarpur,Only CARES,Ei CARES
5024546,SOWDAMBIKA MOUNT LITERA ZEE SCHOOL,Trichy,Only CARES,Ei CARES
2551930,Sage School,Hyderabad,Only CARES,Ei CARES
3752732,Sainik School,Mandsaur,Only CARES,Ei CARES
2448365,"Sandipani Academy, Mandleshwar",Mandleshwar,Only CARES,Ei CARES
2066385,Sanghamitra High School,Zaheerabad,Only CARES,Ei CARES
770229,Sanghamitra School,Hyderabad,Only CARES,Ei CARES
5049594,Santipur Public School,Santipur,Only CARES,Ei CARES
2037085,Satya Prakash Public School,Jabalpur,Only CARES,Ei CARES
3996980,Scholars Abode School,Patna,Only CARES,Ei CARES
3316343,Scholars Academy,Shujalpur,Only CARES,Ei CARES
3997080,Seven Star Senior Secondary Public School,Hamirpur,Only CARES,Ei CARES
5055085,"Shemford Futuristic School, Dhatrigram",Kalna,Only CARES,Ei CARES
5018655,Shivpuri Public School,Shivpuri,Only CARES,Ei CARES
3409378,Shraddha Children^s Academy,Chennai,Only CARES,Ei CARES
2450639,Shree Mumbadevi Vidya Mandir CISCE,Mumbai,Only CARES,Ei CARES
3997396,"Shri A.B. Patil English School, Sangli",Kolhapur,Only CARES,Ei CARES
1649456,Shri Kanwartara Senior Secondary School,Mandleshwar,Only CARES,Ei CARES
1114832,Spring Wood Senior Secondary School,Neemuch,Only CARES,Ei CARES
10251,Sri Aurobindo International School,Hyderabad,Only CARES,Ei CARES
5002617,"Sri Kumaran Children^s Academy, Bangalore",Bengaluru,Only CARES,Ei CARES
5002616,Sri Kumaran Children^s Home CBSE,Bengaluru,Only CARES,Ei CARES
5018392,Sri Ramakrushna Vidya Mandir,Koraput,Only CARES,Ei CARES
5018247,St Joseph's Convent School Katwa,Katwa,Only CARES,Ei CARES
5018211,"St Joseph's Convent School, Laghata",Labpur,Only CARES,Ei CARES
3765958,St Michaels School,Ranchi,Only CARES,Ei CARES
46864,St. Anthony^S School,Kurseong,Only CARES,Ei CARES
5045565,St. Anthony’s School (Girls),Kurseong,Only CARES,Ei CARES
414020,St. Joseph's Convent,Chandannagar,Only CARES,Ei CARES
42625,"St. Kabir Public School, Chandigarh",Chandigarh,Only CARES,Ei CARES
5055276,"St. Mary's Convent School, Mariam Nagar",Ghaziabad,Only CARES,Ei CARES
5038577,St. Mary's High School,Patna,Only CARES,Ei CARES
1016619,St. Paul'S School,Rourkela,Only CARES,Ei CARES
181976,St. Paul's Academy,Ghaziabad,Only CARES,Ei CARES
532393,St. Vivekanand Millennium School,Pinjore,Only CARES,Ei CARES
3216662,St. Xavier'S School,Kalimpong,Only CARES,Ei CARES
354838,St. Xavier's Higher Secondary School,Tura,Only CARES,Ei CARES
3218539,St. Xavier’s High School- Keonjhar,Keonjhar,Only CARES,Ei CARES
1429114,Subbiah Central School,Tirupur,Only CARES,Ei CARES
3552349,Sudharsanam Vidyaashram,Chennai,Only CARES,Ei CARES
1035646,Swadhyay Bhavan School,Mumbai,Only CARES,Ei CARES
5054739,Swami Janaki Das Vidyapith,Katwa,Only CARES,Ei CARES
3438724,Swarnim International School,Kolkata,Only CARES,Ei CARES
3386433,Takshashila International School,Kosamba,Only CARES,Ei CARES
3999184,Takshila,Bijni,Only CARES,Ei CARES
346484,Tashi Namgyal Academy,Gangtok,Only CARES,Ei CARES
463877,The Blossom Sunderbhai Thackersey English High School,Mumbai,Only CARES,Ei CARES
3999269,The Blue Bells English Medium School,Jharsuguda,Only CARES,Ei CARES
5017936,The Cathedral & John Connon School - Senior Section,Mumbai,Only CARES,Ei CARES
2614572,The Ivy Global School,Bhopal,Only CARES,Ei CARES
5018319,The Magnet Public School,Hamirpur,Only CARES,Ei CARES
5018174,The TVS School for CARES,Madurai,Only CARES,Ei CARES
3301477,The Tons Bridge,Dehradun,Only CARES,Ei CARES
3327620,The Vedansh International School,Indore,Only CARES,Ei CARES
8625,Tripada English School,Ahmedabad,Only CARES,Ei CARES
1324784,Tulsi Public School,Ambala,Only CARES,Ei CARES
28968,Uttam School For Girls,Ghaziabad,Only CARES,Ei CARES
3395252,Vedaant Multipurpose School,Valsad,Only CARES,Ei CARES
2104860,Vedavalli Vidyalaya,Ranipet,Only CARES,Ei CARES
1616619,Vedavalli Vidyalaya Senior Secondary School,Walajapet,Only CARES,Ei CARES
452934,Vimala Convent School,Bhawanipatna,Only CARES,Ei CARES
4000011,Viswabharathi Wisewoods (Em) High School,Vijaywada,Only CARES,Ei CARES
2827739,Vriksha Global School,Namakkal,Only CARES,Ei CARES
4091040,Vyasanagar Public School,Jajpur Road,Only CARES,Ei CARES
169040,Young Horizons School,Kolkata,Only CARES,Ei CARES
3495816,"Young Horizons School, Karaya Road",Kolkata,Only CARES,Ei CARES
5044593,Young Ladies High School,Mumbai,Only CARES,Ei CARES
343343,AMNS International School,Surat,Only Mindspark,Ei Mindspark
5040517,"ARMY PUBLIC SCHOOL, Dhrangadhra",Millitary Area,Only Mindspark,Ei Mindspark
1644219,ASPAM Scottish School,Noida,Only Mindspark,Ei Mindspark
5017780,Aalaya Academy Montessori & CBSE School,Tiruppur,Only Mindspark,Ei Mindspark
18460,Abhinav Bharati High School,Kolkata,Only Mindspark,Ei Mindspark
20577,Ahmedabad International School,Ahmedabad,Only Mindspark,Ei Mindspark
9582,Akshar,Kolkata,Only Mindspark,Ei Mindspark
34736,Akshara Matriculation Higher Secondary School,Madurai,Only Mindspark,Ei Mindspark
2984015,Anand Niketan School Bhadaj Campus,Ahmedabad,Only Mindspark,Ei Mindspark
241346,Army Public School,Ahmedabad,Only Mindspark,Ei Mindspark
5063726,"Army Public School, Jaisalmer",Jaisalmer,Only Mindspark,Ei Mindspark
3442227,Assam Heights Public School,"Makum Road, Tinsukia",Only Mindspark,Ei Mindspark
3152932,Aster Public School,Greater Noida,Only Mindspark,Ei Mindspark
4164567,Bellwether International School,Tanuku,Only Mindspark,Ei Mindspark
381519,Bhavan^s Gangabux Kanoria Vidyamandir,Kolkata,Only Mindspark,Ei Mindspark
504488,"Billabong High International School, Bhopal",Bhopal,Only Mindspark,Ei Mindspark
3583679,"Billabong High International School, Indore",Indore,Only Mindspark,Ei Mindspark
5017985,Birla Open Minds International School,Hyderabad,Only Mindspark,Ei Mindspark
856520,Birla Public School,Pilani,Only Mindspark,Ei Mindspark
3072629,Birla Vidya Niketan,New Delhi,Only Mindspark,Ei Mindspark
5018584,Bodoland Pioneer Public School,Kokrajhar,Only Mindspark,Ei Mindspark
3155338,"Broadway Public School, Barnala",Barnala,Only Mindspark,Ei Mindspark
2475745,Candor International School,Bengaluru,Only Mindspark,Ei Mindspark
5017808,Cedar Valley International School,Khammam,Only Mindspark,Ei Mindspark
617089,Chanda Public School,Chandrapur,Only Mindspark,Ei Mindspark
6662,Delhi Public School Nazira,Nazira,Only Mindspark,Ei Mindspark
4104626,"Delhi Public School, Rajpura",Rajpura,Only Mindspark,Ei Mindspark
4166956,Delhi World Public School,Barasat,Only Mindspark,Ei Mindspark
5017993,Dr.Homi Jehangir Bhabha English Medium School No.78 (HJB),Rajkot,Only Mindspark,Ei Mindspark
282495,Genius English Medium School,Rajkot,Only Mindspark,Ei Mindspark
3992442,Golden Era Millennium School,Malerkotla,Only Mindspark,Ei Mindspark
3992445,Golden Gates Vidhyashram,Trichy,Only Mindspark,Ei Mindspark
5044289,Goldengates global school,Ariyalur,Only Mindspark,Ei Mindspark
507154,Gurukul The School,Ghaziabad,Only Mindspark,Ei Mindspark
1881318,Gyan Jyoti Awasiya Vidyalaya,Ara,Only Mindspark,Ei Mindspark
3992812,Heritage Vidhyalaya,Salem,Only Mindspark,Ei Mindspark
5100324,Innovative International Day School,Rajkot,Only Mindspark,Ei Mindspark
411876,Inventure Academy,Bengaluru,Only Mindspark,Ei Mindspark
5017215,"Inventure Academy, Yeshwantpur Campus",Bengaluru,Only Mindspark,Ei Mindspark
24374,Jeevana school,Madurai,Only Mindspark,Ei Mindspark
3970895,Jindal world School,Sakti,Only Mindspark,Ei Mindspark
5035523,KMGIS School,Jamnagar,Only Mindspark,Ei Mindspark
5018430,KRS Krishnamal Ramasubbaiyer school,Madurai,Only Mindspark,Ei Mindspark
5017990,Kavi Shri Narmad English Medium School (KSN),Rajkot,Only Mindspark,Ei Mindspark
119874,M P Birla Foundation Higher Secondary School,Kolkata,Only Mindspark,Ei Mindspark
5016613,MERU International School (Cambridge),Hyderabad,Only Mindspark,Ei Mindspark
5017818,"MERU International School, Tellapur (Cambridge)",Hyderabad,Only Mindspark,Ei Mindspark
3347997,MRS Educational Trust (Redbridge International Academy),Bengaluru,Only Mindspark,Ei Mindspark
3492029,Mahatma Gandhi School,Rajkot,Only Mindspark,Ei Mindspark
5018471,Mahatma Global Gatway Cambridge International Education,Madurai,Only Mindspark,Ei Mindspark
4129415,Manas International Play and Primary School,Dhanbad,Only Mindspark,Ei Mindspark
5107064,Manas International School,Dhanbad,Only Mindspark,Ei Mindspark
173767,Modern High School For Girls,Kolkata,Only Mindspark,Ei Mindspark
5037530,"Modi School, Gujarati Medium",Rajkot,Only Mindspark,Ei Mindspark
3167641,"Mount Litera Zee School, Surat",Surat,Only Mindspark,Ei Mindspark
5017915,National Public School - Kengeri,Bangalore,Only Mindspark,Ei Mindspark
2559923,Ramco Vidya Mandir School,Ariyalur,Only Mindspark,Ei Mindspark
2821214,Ramco Vidyalaya,Virudhunagar,Only Mindspark,Ei Mindspark
1823562,Roopnagar Public School,Jhalawar,Only Mindspark,Ei Mindspark
1720050,S H N V Matriculation School,Sivakasi,Only Mindspark,Ei Mindspark
5016446,SBOA Global School,Chennai,Only Mindspark,Ei Mindspark
5016478,SPK Jain Futuristic Academy,Kolkata,Only Mindspark,Ei Mindspark
5017989,Shri Rabindranath Tagore English Medium School (SRT),Rajkot,Only Mindspark,Ei Mindspark
3460346,Silver Point School,Kolkata,Only Mindspark,Ei Mindspark
5003047,Sondara Gurukul,Beed,Only Mindspark,Ei Mindspark
2385289,South City International School,Kolkata,Only Mindspark,Ei Mindspark
2459310,Sri Aham Aathma Vidyalaya,Bengaluru,Only Mindspark,Ei Mindspark
3856532,Sri National School,Gobichettipalayam,Only Mindspark,Ei Mindspark
5026233,St Mary's (Cambridge Board),Mumbai,Only Mindspark,Ei Mindspark
34097,"Sunbeam English School, Bhagwanpur",Varanasi,Only Mindspark,Ei Mindspark
810367,"Sunbeam School, Lahartara",Varanasi,Only Mindspark,Ei Mindspark
810125,"Sunbeam School, Varuna",Varanasi,Only Mindspark,Ei Mindspark
2473015,Sunbeam Suncity (School & Hostel),Varanasi,Only Mindspark,Ei Mindspark
5014915,"Tapasvi International School, Rajkot",Rajkot,Only Mindspark,Ei Mindspark
3401697,Thamarai International School,Kumbakonam,Only Mindspark,Ei Mindspark
5017598,Thamarai^s,Thanjavur,Only Mindspark,Ei Mindspark
3795896,Thangam World School,Salem,Only Mindspark,Ei Mindspark
356995,The Rajkumar College,Rajkot,Only Mindspark,Ei Mindspark
2470230,The Samhita Academy,Bangalore,Only Mindspark,Ei Mindspark
165035,"The Scindia School, Fort",Gwalior,Only Mindspark,Ei Mindspark
1337248,The Sivakasi Lions Matriculation Higher Secondary School,Sivakasi,Only Mindspark,Ei Mindspark
3443832,The Wisdom Tree School,Greater Noida,Only Mindspark,Ei Mindspark
2503335,Vidya Vanam Sr Sec School,Coimbatore,Only Mindspark,Ei Mindspark
5018520,"Vidyakunj International School, Shajapur",Shajapur,Only Mindspark,Ei Mindspark
5094396,"Vision Coaching Classes, Baner",Pune,Only Mindspark,Ei Mindspark
1940242,Vivekananda Mission School,Haldia,Only Mindspark,Ei Mindspark
5017447,Vivekananda Mission School Baruipur,Kolkata,Only Mindspark,Ei Mindspark
3187344,Yagappa International Residential School,Thanjavur,Only Mindspark,Ei Mindspark
